KO_Class,KO_Subclass1,KO_Subclass2,KO_Number,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00195,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K05299,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K15022,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01938,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01491,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00297,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K15023,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14138,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00197,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00194,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K10944,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K10945,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K10946,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K16157,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K16158,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K16159,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K16160,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K16161,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K16162,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14028,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14029,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K17066,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K10713,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K10714,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00148,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K17067,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K03396,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00121,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01070,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00122,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00123,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00124,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00125,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00126,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00127,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00200,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00201,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00202,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00203,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K11261,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00205,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K11260,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00204,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00672,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01499,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00319,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K13942,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00320,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K15024,,,,,,,,
